catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
1069,-111.42759,34.59887,0.247881737678947,2.80386730704787,-0.0796340016234742,0.5014792456277962,0.3059124351215838,0.6776726078321893,19.558659217877096,2.7790968144506834,7.393480569936622,8.28125
1070,-111.34368,41.5837,0.532835824189474,1.61562009527845,-0.251762670471985,0.8161686878606954,0.2103601140236515,3.1061151579959887,18.890243902439025,3.422467594245665,5.612007347163784,65.44444444444444
1071,-112.69434,37.62724,0.615622753321053,1.88580458453891,-0.114532425241708,0.5785570108356651,0.0630330107645008,5.19138108678203,57.68181818181818,4.398798748391075,7.84145551418364,37.666666666666664
1072,-111.52384,38.97347,0.593527145463158,2.17434795483497,-0.0338416511525605,0.7126117792645285,0.3092116806617372,1.759466139301967,12.523255813953488,3.231262062915153,5.376534201182447,16.103448275862068
1073,-112.43792,38.28442,0.661222019652632,2.04351627544396,-0.221491675752879,0.6923361639239011,0.3200324235736818,0.8595616382299678,11.883333333333333,3.222244264748718,5.756370186747457,15.358490566037736
1074,-114.67992,39.23253,0.593310226394737,3.17877641525109,-0.358482191873656,0.8309998367057103,0.3893581395802949,1.3367644134437393,20.52380952380953,2.822799465299377,4.7279755904286445,31.75
1075,-116.59863,33.76269,0.0745974350047368,7.8335232005941,-0.799977467120386,0.7018529205568149,0.1678388241905995,4.024955874148377,19.54022988505747,2.848323575234586,4.726770135737082,10.625
1076,-119.84657,39.11748,0.392755915631579,1.98843713856403,-0.941436439395808,0.8092656875398063,0.23139856623293223,3.0954815673295446,26.963636363636365,2.8464071421573083,4.010593201625464,11.923076923076923
1077,-115.39398,40.62362,0.7544375430315791,2.27463727311034,-0.383149504993448,0.5168881060894462,0.05751968550931655,2.2063344649526364,122.76315789473684,5.153763821634759,9.449492045492072,56.5625
1078,-117.4187,41.64141,0.36303447285789503,3.45019113741814,-0.493014876699017,0.627195471458834,0.16292766133358122,1.4949478768618023,59.05714285714286,4.299047278018007,7.326704306533989,19.53968253968254
1079,-120.16849,39.02197,0.722277796521053,0.980542184536878,-0.986458061931462,0.5035392897212677,0.04458976245800254,2.484694723739433,66.140625,4.968042700529111,7.947510350174141,27.633802816901408
1080,-120.20516,39.09663,0.763383469778947,0.984191443101133,-0.991298907714511,0.5435207058627769,0.03980037559710868,3.3509136374842123,59.13235294117647,4.485649738592644,6.9758226422212966,27.16417910447761
